timestamp,event_type,details
2026-04-14T19:12:54.563722,FAULT_PREDICTED,server=server_01 confidence=0.511
2026-04-14T19:12:54.566725,VM_MIGRATED,source=server_01 target=server_02
2026-04-14T19:12:54.569228,FAULT_PREDICTED,server=server_02 confidence=0.511
2026-04-14T19:12:54.571232,VM_MIGRATED,source=server_02 target=server_03
2026-04-14T19:12:54.573236,FAULT_PREDICTED,server=server_03 confidence=0.511
2026-04-14T19:12:54.575235,VM_MIGRATED,source=server_03 target=server_04
2026-04-14T19:12:54.577240,FAULT_PREDICTED,server=server_04 confidence=0.511
2026-04-14T19:12:54.579242,VM_MIGRATED,source=server_04 target=server_05
2026-04-14T19:12:54.581785,FAULT_PREDICTED,server=server_05 confidence=0.511
2026-04-14T19:12:54.583789,VM_MIGRATED,source=server_05 target=server_06
2026-04-14T19:12:54.586299,FAULT_PREDICTED,server=server_06 confidence=0.511
2026-04-14T19:12:54.587806,VM_MIGRATED,source=server_06 target=server_07
2026-04-14T19:12:54.590822,FAULT_PREDICTED,server=server_07 confidence=0.511
2026-04-14T19:12:54.592338,VM_MIGRATED,source=server_07 target=server_08
2026-04-14T19:12:54.594844,FAULT_PREDICTED,server=server_08 confidence=0.511
2026-04-14T19:12:54.595844,VM_MIGRATED,source=server_08 target=server_09
2026-04-14T19:12:54.599349,FAULT_PREDICTED,server=server_09 confidence=0.511
2026-04-14T19:12:54.600354,VM_MIGRATED,source=server_09 target=server_10
2026-04-14T19:12:54.603358,FAULT_PREDICTED,server=server_10 confidence=0.511
2026-04-14T19:17:06.670138,FAULT_PREDICTED,server=server_01 confidence=0.511
2026-04-14T19:17:07.136757,VM_MIGRATED,source=server_01 target=server_02
2026-04-14T19:17:07.139264,FAULT_PREDICTED,server=server_02 confidence=0.511
2026-04-14T19:17:07.140771,VM_MIGRATED,source=server_02 target=server_03
2026-04-14T19:17:07.143774,FAULT_PREDICTED,server=server_03 confidence=0.511
2026-04-14T19:17:07.145276,VM_MIGRATED,source=server_03 target=server_04
2026-04-14T19:17:07.147279,FAULT_PREDICTED,server=server_04 confidence=0.511
2026-04-14T19:17:07.149279,VM_MIGRATED,source=server_04 target=server_05
2026-04-14T19:17:07.152296,FAULT_PREDICTED,server=server_05 confidence=0.511
2026-04-14T19:17:07.153798,VM_MIGRATED,source=server_05 target=server_06
2026-04-14T19:17:07.155802,FAULT_PREDICTED,server=server_06 confidence=0.511
2026-04-14T19:17:07.157304,VM_MIGRATED,source=server_06 target=server_07
2026-04-14T19:17:07.161119,FAULT_PREDICTED,server=server_07 confidence=0.511
2026-04-14T19:17:07.162325,VM_MIGRATED,source=server_07 target=server_08
2026-04-14T19:17:07.164816,FAULT_PREDICTED,server=server_08 confidence=0.511
2026-04-14T19:17:07.166975,VM_MIGRATED,source=server_08 target=server_09
2026-04-14T19:17:07.169974,FAULT_PREDICTED,server=server_09 confidence=0.511
2026-04-14T19:17:07.170978,VM_MIGRATED,source=server_09 target=server_10
2026-04-14T19:17:07.173982,FAULT_PREDICTED,server=server_10 confidence=0.511
2026-04-14T19:25:10.963227,FAULT_PREDICTED,server=server_06 confidence=1.000
2026-04-14T19:25:11.005313,VM_MIGRATED,source=server_06 target=server_09
2026-04-14T19:25:11.010326,FAULT_PREDICTED,server=server_01 confidence=1.000
2026-04-14T19:25:11.011325,VM_MIGRATED,source=server_01 target=server_07
2026-04-14T19:25:11.017328,FAULT_PREDICTED,server=server_08 confidence=1.000
2026-04-14T19:25:11.018328,VM_MIGRATED,source=server_08 target=server_09
2026-04-14T19:25:11.020429,FAULT_PREDICTED,server=server_09 confidence=1.000
2026-04-14T19:25:11.022935,VM_MIGRATED,source=server_09 target=server_10
2026-04-14T19:25:11.026447,FAULT_PREDICTED,server=server_03 confidence=1.000
2026-04-14T19:25:11.027952,VM_MIGRATED,source=server_03 target=server_10
2026-04-14T19:25:11.033472,FAULT_PREDICTED,server=server_10 confidence=1.000
2026-04-14T19:25:11.034974,VM_MIGRATED,source=server_10 target=server_05
